dataset,generated_on,generated_by,first_release
blogs_table9,2026-05-31,0.3.1,0.3.1
blogs_timing,2026-05-31,0.3.1,0.3.1
consensus_leader_test,2026-05-31,0.3.1,0.3.1
degeneracy,2026-05-31,0.3.1,0.3.1
doe_lfr_recovery,2026-05-31,0.3.1,0.3.1
doe_rsm,2026-05-31,0.3.1,0.3.1
doe_screening,2026-05-31,0.3.1,0.3.1
eda_replicates,2026-05-31,0.3.1,0.3.1
gnn_baseline,2026-05-31,0.3.1,0.3.1
largescale,2026-05-31,0.3.1,0.3.1
lcda_ecg,2026-05-31,0.3.1,0.3.1
leader_utility,2026-05-31,0.3.1,0.3.1
leader_vs_twostage,2026-05-31,0.3.1,0.3.1
leader_vs_twostage_lfr,2026-05-31,0.3.1,0.3.1
lfr_robustness,2026-06-01,0.3.1,0.3.1
nce_alternatives,2026-05-31,0.3.1,0.3.1
openalex_leaders,2026-06-01,0.3.1,0.3.2
overlap_lcda_ecg,2026-05-31,0.3.1,0.3.1
pool_sensitivity,2026-05-31,0.3.1,0.3.1
prop6_summary,2026-05-31,0.3.1,0.3.1
prop6_trajectories,2026-05-31,0.3.1,0.3.1
realnet_amazon,2026-06-01,0.3.1,0.3.2
realnet_coauthor,2026-06-01,0.3.1,0.3.2
repro_benchmarks,2026-05-31,0.3.1,0.3.1
repro_summary,2026-05-31,0.3.1,0.3.1
stability_pool,2026-05-31,0.3.1,0.3.1
vnmi_nprime,2026-06-01,0.3.1,0.3.2
weighted_demo,2026-05-31,0.3.1,0.3.1
